Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
13/09/2011,5.8,6,5.65,5.97,58.37,346.1,5.93
01/01/2012,4.58,5,4.58,5,21.6,105.78,4.9
01/01/2013,13.24,13.24,12.77,13.22,2116.93,27536.43,13.01
01/01/2014,732,757.99,729.01,754.9,7907.64,5894781.57,745.45
01/01/2015,321,321,312.6,313.81,3087.44,974509.58,315.64
01/01/2016,430.89,436,427.2,433.82,3788.11,1640577.93,433.09
01/01/2017,966.34,1005,960.53,997.75,6850.59,6764742.06,987.47
01/01/2018,13880,13941.75,12801.38,13443.41,7688.03,102815718.5,13373.48
01/01/2019,3693.85,3845.46,3629.66,3823.44,5149.61,19109447.54,3710.86
01/01/2020,7160.69,7237.35,7150,7178.68,1119.11,8052270.93,7195.25
01/01/2021,28999.63,29700,28720,29402.64,8781.47,257112705,29279.02
